,BuildingType,PrimaryPropertyType,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofFloors,PropertyGFAParking,ListOfAllPropertyUseTypes,LargestPropertyUseType,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,SourceEUI(kBtu/sf),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kBtu),DefaultData,ComplianceStatus,TotalGHGEmissions,GHGEmissionsIntensity
754,Multifamily MR (5-9),Mid-Rise Multifamily,7,MAGNOLIA / QUEEN ANNE,47.62528,-122.36366,1990,5,0,"Multifamily Housing, Parking",Multifamily Housing,Parking,4290.0,69.80000305,561177.1875,0.0,459307.0,False,Compliant,6.87,0.32
755,Multifamily MR (5-9),Mid-Rise Multifamily,7,LAKE UNION,47.62406,-122.33027,1994,7,23866,"Multifamily Housing, Parking",Multifamily Housing,Parking,23866.0,0.0,2436266.5,0.0,1879677.0,False,Compliant,13.1,0.15
756,Multifamily LR (1-4),Low-Rise Multifamily,7,LAKE UNION,47.62402,-122.32972,1916,3,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,56.40000153,1799223.75,0.0,704360.0,False,Compliant,54.53,0.96
757,Multifamily MR (5-9),Mid-Rise Multifamily,7,MAGNOLIA / QUEEN ANNE,47.62548,-122.36166,1996,5,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,97.80000305,647792.875,0.0,647793.0,False,Compliant,4.52,0.22
758,Multifamily LR (1-4),Low-Rise Multifamily,4,NORTHEAST,47.68149,-122.26471,1977,3,0,Rien,Rien,Rien,28444.075817081597,134.23284824327024,5276725.714394523,274595.8982093198,3707612.1615942973,False,Non-Compliant,119.72397089397079,1.1759162459162464
759,Multifamily LR (1-4),Low-Rise Multifamily,3,EAST,47.6172,-122.31456,1965,3,0,"Multifamily Housing, Parking",Multifamily Housing,Parking,754.0,89.5,601180.875,0.0,556701.0,False,Compliant,3.88,0.19
760,Multifamily LR (1-4),Other,7,DOWNTOWN,47.61294,-122.34638,1909,3,0,"Multifamily Housing, Other",Other,Multifamily Housing,11666.0,0.0,0.0,0.0,0.0,False,Missing Data,0.0,0.0
761,Multifamily LR (1-4),Low-Rise Multifamily,7,MAGNOLIA / QUEEN ANNE,47.64791,-122.38246,1988,4,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,106.9000015,870793.3125,0.0,832987.0,False,Compliant,5.81,0.18
762,Multifamily MR (5-9),Mid-Rise Multifamily,3,EAST,47.62483,-122.32508,1980,5,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,108.0999985,1802592.25,0.0,1678495.0,False,Compliant,11.7,0.24
763,Multifamily MR (5-9),Mid-Rise Multifamily,7,LAKE UNION,47.6237,-122.33014,2010,5,0,"Multifamily Housing, Parking",Multifamily Housing,Parking,3983.0,75.59999847,656491.0,0.0,480219.0,False,Compliant,11.6,0.48
764,Multifamily LR (1-4),Low-Rise Multifamily,7,MAGNOLIA / QUEEN ANNE,47.64898,-122.35675,1999,4,0,"Multifamily Housing, Office, Parking",Multifamily Housing,Parking,12000.0,74.69999695,905750.8125,0.0,868234.0,False,Compliant,6.22,0.16
765,Multifamily MR (5-9),Mid-Rise Multifamily,7,MAGNOLIA / QUEEN ANNE,47.62181,-122.35701,1999,7,0,"Multifamily Housing, Office, Parking",Multifamily Housing,Parking,39780.0,109.4000015,2896491.0,0.0,2390109.0,False,Compliant,39.57,0.54
766,Multifamily LR (1-4),Low-Rise Multifamily,2,GREATER DUWAMISH,47.58963,-122.31864,1980,4,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,74.09999847,1523877.5,0.0,1406648.0,False,Compliant,9.81,0.16
767,Multifamily LR (1-4),Low-Rise Multifamily,7,MAGNOLIA / QUEEN ANNE,47.63099,-122.34658,1978,4,0,"Multifamily Housing, Parking",Multifamily Housing,Parking,8778.0,67.09999847,725346.6875,0.0,687954.0,False,Compliant,4.8,0.12
768,NonResidential,University,7,DOWNTOWN,47.61741,-122.33491,1992,2,0,College/University,College/University,Rien,28444.075817081597,28.70000076,508430.5938,0.0,174768.0,False,Compliant,15.27,0.53
769,Multifamily MR (5-9),Mid-Rise Multifamily,7,DOWNTOWN,47.61775,-122.33551,1992,7,0,"Multifamily Housing, Parking",Multifamily Housing,Parking,8575.0,99.09999847,2831134.75,0.0,1322686.0,False,Compliant,82.9,1.27
770,NonResidential,University,7,DOWNTOWN,47.61789,-122.33573,1928,3,0,College/University,College/University,Rien,28444.075817081597,38.5,359207.1875,0.0,235546.0,False,Compliant,6.33,0.29
771,Multifamily LR (1-4),Low-Rise Multifamily,7,EAST,47.61309,-122.32839,1925,3,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,91.5,1346638.75,0.0,335078.0,False,Compliant,49.58,2.28
772,Multifamily MR (5-9),Mid-Rise Multifamily,7,EAST,47.61378,-122.32875,1908,5,0,"Multifamily Housing, Parking, Retail Store",Multifamily Housing,Retail Store,7865.0,91.09999847,1842865.875,0.0,1180845.0,False,Compliant,38.97,0.73
773,NonResidential,Retail Store,4,NORTHEAST,47.6646,-122.29932,1996,1,0,Retail Store,Retail Store,Rien,28444.075817081597,125.4000015,1245673.0,0.0,953695.0,False,Compliant,18.1,0.7
774,Multifamily LR (1-4),Low-Rise Multifamily,4,NORTHEAST,47.6657,-122.3017,1984,4,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,88.09999847,1782454.25,0.0,1675511.0,False,Compliant,11.68,0.2
775,NonResidential,Retail Store,4,NORTHEAST,47.66246,-122.29898,1956,2,0,"Other, Retail Store",Retail Store,Other,300.0,371.6000061,4765879.0,0.0,2185523.0,False,Compliant,154.17,5.96
776,NonResidential,Retail Store,4,NORTHEAST,47.66246,-122.29898,2003,2,0,"Other, Retail Store",Retail Store,Other,2500.0,206.8000031,3424428.0,0.0,3247196.0,False,Compliant,29.54,0.59
777,Multifamily LR (1-4),Low-Rise Multifamily,7,MAGNOLIA / QUEEN ANNE,47.64385,-122.34899,1981,3,0,"Multifamily Housing, Parking",Multifamily Housing,Parking,2700.0,59.5,1116648.75,0.0,1018111.0,False,Compliant,7.1,0.13
778,Multifamily MR (5-9),Mid-Rise Multifamily,7,DOWNTOWN,47.60318,-122.33206,1911,6,0,"Food Service, Multifamily Housing",Multifamily Housing,Food Service,2536.0,110.5999985,2259986.0,0.0,644057.0,False,Compliant,79.21,3.39
779,Multifamily MR (5-9),Mid-Rise Multifamily,7,DOWNTOWN,47.60274,-122.33245,1900,6,0,"Multifamily Housing, Retail Store",Multifamily Housing,Retail Store,5457.0,58.40000153,1060662.625,0.0,604566.0,False,Compliant,25.21,0.64
780,NonResidential,Small- and Mid-Sized Office,7,DOWNTOWN,47.6026,-122.33232,1929,2,0,Office,Office,Rien,28444.075817081597,65.59999847,550668.125,151742.5,360055.0,False,Compliant,14.22,0.71
781,Multifamily HR (10+),High-Rise Multifamily,7,DOWNTOWN,47.60257,-122.33383,1906,10,0,"Multifamily Housing, Restaurant, Retail Store",Multifamily Housing,Retail Store,3374.0,146.8000031,3380476.5,1014571.688,2231200.0,False,Compliant,93.87,1.43
782,NonResidential,Small- and Mid-Sized Office,7,DOWNTOWN,47.60247,-122.33372,1900,7,0,"Office, Restaurant",Office,Restaurant,2285.0,51.20000076,575362.5,0.0,419848.0,False,Compliant,9.95,0.42
783,NonResidential,Small- and Mid-Sized Office,7,DOWNTOWN,47.60237,-122.33365,1902,3,0,"Office, Restaurant",Office,Restaurant,3380.0,117.6999969,883197.6875,0.0,883198.0,False,Compliant,6.16,0.26
784,NonResidential,Mixed Use Property,7,DOWNTOWN,47.60284,-122.33407,1903,3,0,"Office, Restaurant, Retail Store",Office,Retail Store,11000.0,99.0,1167559.75,0.0,697769.0,False,Compliant,24.25,0.85
785,NonResidential,Mixed Use Property,7,DOWNTOWN,47.60427,-122.33385,1978,2,12379,"Office, Parking, Retail Store",Retail Store,Parking,12379.0,262.3999939,2249630.25,0.0,2186018.0,False,Compliant,15.24,0.4
786,NonResidential,Small- and Mid-Sized Office,7,DOWNTOWN,47.60427,-122.33385,1906,5,0,Office,Office,Rien,28444.075817081597,215.1000061,1997288.75,0.0,1989287.0,False,Compliant,13.87,0.52
787,NonResidential,Retail Store,7,DOWNTOWN,47.60427,-122.33385,1906,2,0,"Office, Retail Store",Retail Store,Office,10781.0,83.5,1245187.5,0.0,1245187.0,False,Compliant,8.68,0.19
788,NonResidential,Small- and Mid-Sized Office,7,DOWNTOWN,47.60431,-122.33335,1979,3,26640,"Office, Parking",Office,Parking,26640.0,166.1999969,2067352.5,0.0,2062620.0,False,Compliant,14.63,0.23
789,NonResidential,Small- and Mid-Sized Office,7,DOWNTOWN,47.61285,-122.34817,1908,3,0,"Non-Refrigerated Warehouse, Office, Other",Office,Other,7200.0,95.5,1423579.25,0.0,923904.0,False,Compliant,28.81,1.0
790,Multifamily LR (1-4),Low-Rise Multifamily,7,DOWNTOWN,47.61358,-122.34656,1900,3,0,"Multifamily Housing, Retail Store",Multifamily Housing,Retail Store,3883.0,139.6999969,1489197.875,0.0,805944.0,False,Compliant,40.28,1.75
791,Multifamily MR (5-9),Mid-Rise Multifamily,7,DOWNTOWN,47.61396,-122.34609,2000,6,0,"Multifamily Housing, Office, Other - Lodging/Residential, Retail Store",Multifamily Housing,Office,9751.0,149.6000061,2316515.5,0.0,1512202.0,False,Compliant,47.84,1.3
792,NonResidential,Small- and Mid-Sized Office,7,DOWNTOWN,47.6172,-122.34979,1954,3,4968,"Office, Parking",Office,Parking,4968.0,117.8000031,1817034.125,0.0,643674.0,False,Compliant,60.43,1.8
793,NonResidential,Retail Store,7,DOWNTOWN,47.61652,-122.34854,1931,2,0,Retail Store,Retail Store,Rien,28444.075817081597,147.0,1667641.25,0.0,1064100.0,False,Compliant,33.78,1.29
794,NonResidential,Small- and Mid-Sized Office,7,DOWNTOWN,47.61595,-122.34756,1926,3,7820,"Office, Parking",Office,Parking,7820.0,150.3999939,2385395.0,0.0,2385395.0,False,Compliant,16.63,0.29
795,Multifamily LR (1-4),Low-Rise Multifamily,7,DOWNTOWN,47.61519,-122.34674,1923,3,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,130.1000061,3496803.0,0.0,428689.0,False,Compliant,154.89,4.63
796,NonResidential,Mixed Use Property,7,DOWNTOWN,47.61543,-122.34651,1954,2,6080,"Bank Branch, Other, Parking",Other,Bank Branch,7760.0,63.40000153,450780.1875,0.0,418348.0,False,Compliant,2.92,0.1
797,NonResidential,Hotel,7,DOWNTOWN,47.61471,-122.34525,1990,5,0,Hotel,Hotel,Rien,28444.075817081597,94.09999847,2466522.25,0.0,1375435.0,False,Compliant,66.29,1.15
798,Multifamily MR (5-9),Mid-Rise Multifamily,7,DOWNTOWN,47.61801,-122.34894,1994,6,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,109.5,4421346.0,0.0,1541059.0,False,Compliant,151.36,2.18
799,Multifamily HR (10+),High-Rise Multifamily,7,DOWNTOWN,47.61678,-122.34698,1990,26,0,"Multifamily Housing, Parking, Swimming Pool",Multifamily Housing,Parking,94550.0,142.1999969,15275742.0,0.0,8297277.0,False,Compliant,369.68,1.15
800,Multifamily MR (5-9),Mid-Rise Multifamily,7,DOWNTOWN,47.61637,-122.34706,2000,7,0,"Multifamily Housing, Parking",Multifamily Housing,Parking,49580.0,80.30000305,3788892.75,0.0,3644982.0,False,Compliant,25.41,0.13
801,Multifamily MR (5-9),Mid-Rise Multifamily,7,DOWNTOWN,47.61534,-122.34515,2008,7,0,"Multifamily Housing, Parking",Multifamily Housing,Parking,60757.0,101.1999969,6641114.5,0.0,3672464.0,False,Compliant,174.99,0.86
802,Multifamily LR (1-4),Low-Rise Multifamily,7,DOWNTOWN,47.61558,-122.34496,1918,3,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,77.90000153,821100.375,0.0,399264.0,False,Compliant,23.27,1.09
803,Multifamily MR (5-9),Mid-Rise Multifamily,7,DOWNTOWN,47.61399,-122.34724,1908,5,0,"Multifamily Housing, Parking",Multifamily Housing,Parking,16670.0,81.40000153,968698.3125,0.0,968698.0,False,Compliant,6.75,0.14
804,Multifamily MR (5-9),Mid-Rise Multifamily,7,DOWNTOWN,47.61458,-122.33527,2002,6,0,"Multifamily Housing, Other",Multifamily Housing,Other,6443.0,107.5999985,2043683.25,0.0,1278844.0,False,Compliant,47.32,0.48
805,NonResidential,Other,7,DOWNTOWN,47.61319,-122.33695,1955,2,0,Financial Office,Financial Office,Rien,28444.075817081597,187.3000031,1788951.625,0.0,1858224.0,False,Compliant,12.95,0.41
806,NonResidential,Small- and Mid-Sized Office,7,DOWNTOWN,47.61267,-122.33852,1925,2,13660,"Office, Parking",Office,Parking,13155.0,141.0,1523175.125,450522.3125,991378.0,False,Compliant,41.69,0.95
807,NonResidential,Restaurant,7,DOWNTOWN,47.61332,-122.33904,1923,3,0,Restaurant,Restaurant,Rien,28444.075817081597,288.8999939,3625967.75,0.0,1319044.0,False,Compliant,126.78,5.66
808,Multifamily HR (10+),High-Rise Multifamily,7,DOWNTOWN,47.61487,-122.33748,2001,31,139826,"Multifamily Housing, Parking",Multifamily Housing,Parking,139826.0,95.0,24212986.0,0.0,13120121.0,False,Compliant,594.48,1.1
809,NonResidential,Laboratory,7,DOWNTOWN,47.61763,-122.35507,1926,4,0,"Laboratory, Office",Laboratory,Office,7165.0,1206.699951,33092532.0,0.0,10854749.0,False,Compliant,1266.06,25.71
810,NonResidential,Retail Store,7,DOWNTOWN,47.61812,-122.35509,1925,1,1263,"Non-Refrigerated Warehouse, Retail Store",Retail Store,Non-Refrigerated Warehouse,10439.0,41.59999847,485607.1875,0.0,264519.0,False,Compliant,11.14,0.45
811,Multifamily MR (5-9),Mid-Rise Multifamily,7,DOWNTOWN,47.61792,-122.35484,1991,6,0,"Multifamily Housing, Parking",Multifamily Housing,Parking,15901.0,112.0,1221338.125,0.0,776165.0,False,Compliant,24.48,0.6
812,Multifamily MR (5-9),Mid-Rise Multifamily,7,DOWNTOWN,47.61838,-122.35571,2002,6,0,"Fast Food Restaurant, Multifamily Housing, Retail Store",Multifamily Housing,Retail Store,1600.0,137.6999969,3061112.5,0.0,1185506.0,False,Compliant,100.71,2.44
813,Multifamily MR (5-9),Mid-Rise Multifamily,7,DOWNTOWN,47.61723,-122.35248,1989,5,0,"Multifamily Housing, Parking, Restaurant, Swimming Pool",Multifamily Housing,Parking,21000.0,103.0999985,4038279.25,0.0,3833492.0,False,Compliant,26.78,0.14
814,Multifamily LR (1-4),Low-Rise Multifamily,7,DOWNTOWN,47.618,-122.35321,1925,3,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,89.69999695,740745.6875,0.0,684941.0,False,Compliant,4.77,0.2
815,NonResidential,Medical Office,7,DOWNTOWN,47.6146,-122.34217,1952,4,0,Medical Office,Medical Office,Rien,28444.075817081597,182.8999939,1640803.5,0.0,1553175.0,False,Compliant,10.83,0.41
816,Multifamily MR (5-9),Mid-Rise Multifamily,7,DOWNTOWN,47.61496,-122.34188,1991,6,0,"Multifamily Housing, Office, Parking",Multifamily Housing,Parking,10780.0,105.5999985,1091417.25,0.0,1044220.0,False,Compliant,7.28,0.17
817,Multifamily LR (1-4),Low-Rise Multifamily,7,DOWNTOWN,47.61536,-122.34348,1922,3,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,90.5,2421341.5,0.0,372437.0,False,Compliant,99.44,2.92
818,Multifamily MR (5-9),Mid-Rise Multifamily,7,DOWNTOWN,47.61513,-122.34223,1925,7,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,113.3000031,1968193.25,0.0,1114028.0,True,Error - Correct Default Data,44.61,1.2
819,Nonresidential COS,Other,7,DOWNTOWN,47.61607,-122.34449,1922,2,0,Fire Station,Fire Station,Rien,28444.075817081597,174.6999969,3356598.0,0.0,1699362.0,False,Compliant,86.02,2.28
820,Multifamily MR (5-9),Mid-Rise Multifamily,7,DOWNTOWN,47.6165,-122.34512,1998,6,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,89.59999847,8561209.0,0.0,7779214.0,False,Compliant,78.36,0.24
821,Multifamily MR (5-9),Mid-Rise Multifamily,7,DOWNTOWN,47.61706,-122.34624,2000,6,40377,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,85.5,3680711.0,0.0,3603765.0,False,Compliant,25.12,0.16
822,Multifamily LR (1-4),Low-Rise Multifamily,7,DOWNTOWN,47.61724,-122.34594,1925,3,0,"Multifamily Housing, Parking",Multifamily Housing,Parking,4504.0,89.09999847,2594218.75,0.0,526821.0,False,Compliant,103.18,2.31
823,Multifamily LR (1-4),Low-Rise Multifamily,7,DOWNTOWN,47.61768,-122.34695,1923,3,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,104.3000031,811901.5,0.0,743748.0,False,Compliant,5.18,0.23
824,Multifamily HR (10+),High-Rise Multifamily,7,DOWNTOWN,47.61768,-122.34716,1979,13,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,167.3999939,3994183.0,0.0,3742915.0,False,Compliant,26.09,0.37
825,Multifamily MR (5-9),Mid-Rise Multifamily,7,DOWNTOWN,47.61809,-122.34697,1929,6,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,84.40000153,945404.375,0.0,434491.0,False,Compliant,27.27,1.25
826,Multifamily LR (1-4),Low-Rise Multifamily,7,DOWNTOWN,47.61789,-122.34658,1925,3,0,"Multifamily Housing, Parking",Multifamily Housing,Parking,5887.0,112.5999985,2514939.25,0.0,400470.0,False,Compliant,98.59,2.91
827,Multifamily HR (10+),High-Rise Multifamily,7,DOWNTOWN,47.61779,-122.34524,1949,18,67222,"Multifamily Housing, Parking, Retail Store",Multifamily Housing,Retail Store,23697.0,93.09999847,19111216.0,0.0,5788003.0,False,Compliant,658.76,1.67
828,NonResidential,Small- and Mid-Sized Office,7,DOWNTOWN,47.61768,-122.34139,1965,1,0,"Office, Parking, Retail Store",Office,Retail Store,9435.0,97.40000153,1199844.875,0.0,571058.0,False,Compliant,30.33,1.28
829,NonResidential,Hotel,7,DOWNTOWN,47.61822,-122.34132,1967,4,0,Hotel,Hotel,Rien,28444.075817081597,112.5999985,2736926.5,0.0,1495543.0,False,Compliant,72.78,1.64
830,NonResidential,Mixed Use Property,7,DOWNTOWN,47.61634,-122.35385,2006,2,22867,"Other - Entertainment/Public Assembly, Parking, Social/Meeting Hall, Swimming Pool",Social/Meeting Hall,Parking,8540.0,701.9000244,2622096.5,0.0,2269684.0,False,Compliant,30.6,0.91
831,Multifamily MR (5-9),Mid-Rise Multifamily,7,DOWNTOWN,47.61361,-122.34461,2002,8,0,"Multifamily Housing, Other",Multifamily Housing,Other,18000.0,98.30000305,1534880.625,0.0,1204384.0,False,Compliant,23.82,0.7
832,Multifamily MR (5-9),Mid-Rise Multifamily,7,DOWNTOWN,47.61468,-122.34794,1994,8,0,"Multifamily Housing, Swimming Pool",Multifamily Housing,Swimming Pool,0.0,143.8000031,10229204.0,0.0,7745767.0,False,Compliant,165.86,0.74
833,Multifamily MR (5-9),Mid-Rise Multifamily,7,DOWNTOWN,47.61263,-122.34779,1914,6,0,"Multifamily Housing, Office",Multifamily Housing,Office,4879.0,98.80000305,1948197.125,0.0,1827817.0,False,Compliant,12.74,0.2
834,Multifamily LR (1-4),Low-Rise Multifamily,3,EAST,47.62059,-122.3244,1989,4,0,"Multifamily Housing, Parking",Multifamily Housing,Parking,14280.0,30.39999962,275412.0,0.0,255971.0,False,Non-Compliant,1.78,0.06
835,Multifamily LR (1-4),Low-Rise Multifamily,3,EAST,47.62589,-122.324,1930,3,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,79.09999847,1469579.125,0.0,278629.0,False,Compliant,56.63,1.9
836,Multifamily LR (1-4),Low-Rise Multifamily,3,EAST,47.62102,-122.31472,1928,4,0,"Multifamily Housing, Parking",Multifamily Housing,Parking,3200.0,100.6999969,2256923.5,0.0,294505.0,False,Compliant,93.68,3.45
837,Multifamily LR (1-4),Low-Rise Multifamily,7,MAGNOLIA / QUEEN ANNE,47.65052,-122.38821,1969,4,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,73.09999847,550147.0,0.0,520766.0,False,Compliant,3.63,0.16
838,Multifamily LR (1-4),Low-Rise Multifamily,7,MAGNOLIA / QUEEN ANNE,47.63805,-122.35534,1910,4,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,164.8000031,4192671.5,0.0,2910706.0,False,Compliant,73.2,1.18
839,SPS-District K-12,K-12 School,7,MAGNOLIA / QUEEN ANNE,47.63203,-122.35337,2001,1,0,K-12 School,K-12 School,Rien,28444.075817081597,27.0,431471.6875,0.0,246628.0,True,Error - Correct Default Data,11.54,0.32
840,Multifamily LR (1-4),Low-Rise Multifamily,5,North,47.71825,-122.31303,2002,4,0,"Multifamily Housing, Retail Store",Multifamily Housing,Retail Store,8802.0,118.8000031,1371976.25,0.0,1332591.0,False,Compliant,9.29,0.16
841,Multifamily MR (5-9),Mid-Rise Multifamily,1,SOUTHWEST,47.54548,-122.38676,1968,8,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,68.69999695,1561564.75,0.0,946194.0,False,Compliant,35.2,0.68
842,Multifamily LR (1-4),Low-Rise Multifamily,4,LAKE UNION,47.6483,-122.33681,1987,4,0,"Multifamily Housing, Parking",Multifamily Housing,Parking,4717.0,95.90000153,1444049.375,0.0,1384559.0,False,Compliant,9.65,0.21
843,Multifamily LR (1-4),Low-Rise Multifamily,5,NORTHWEST,47.72614,-122.35519,1966,4,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,88.09999847,925086.875,0.0,878928.0,True,Error - Correct Default Data,6.13,0.2
844,Multifamily MR (5-9),Mid-Rise Multifamily,5,NORTHWEST,47.7256,-122.34832,1969,5,0,"Multifamily Housing, Parking, Swimming Pool",Multifamily Housing,Parking,9000.0,89.40000153,2991078.5,0.0,2828591.0,True,Error - Correct Default Data,19.72,0.2
845,Multifamily LR (1-4),Low-Rise Multifamily,5,NORTHWEST,47.7265,-122.35426,1964,4,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,73.0,659655.125,0.0,621650.0,False,Compliant,4.33,0.16
846,Multifamily LR (1-4),Low-Rise Multifamily,5,NORTHWEST,47.72304,-122.35007,1987,4,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,72.5,725707.375,0.0,694305.0,False,Compliant,4.84,0.16
847,NonResidential,Worship Facility,6,Northwest,47.66476,-122.35248,1928,2,0,Worship Facility,Worship Facility,Rien,28444.075817081597,50.20000076,1297917.25,0.0,529029.0,False,Compliant,36.43,0.79
848,Multifamily MR (5-9),Mid-Rise Multifamily,4,NORTHEAST,47.66582,-122.29703,2002,5,0,"Multifamily Housing, Retail Store",Multifamily Housing,Retail Store,7187.0,131.1999969,5270710.5,0.0,3961990.0,False,Compliant,86.66,0.72
849,Multifamily LR (1-4),Low-Rise Multifamily,4,NORTHEAST,47.66508,-122.30253,1997,4,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,75.80000305,601792.375,0.0,574563.0,False,Compliant,4.01,0.17
850,Multifamily LR (1-4),Low-Rise Multifamily,1,DELRIDGE,47.52517,-122.36488,1988,4,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,95.0,1582080.25,0.0,1482554.0,False,Compliant,10.34,0.21
851,Multifamily LR (1-4),Low-Rise Multifamily,7,MAGNOLIA / QUEEN ANNE,47.6603,-122.39867,2007,4,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,78.59999847,939073.8125,0.0,855740.0,False,Compliant,9.66,0.26
852,Multifamily LR (1-4),Low-Rise Multifamily,1,DELRIDGE,47.52616,-122.36418,1998,3,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,147.6000061,1240261.875,0.0,1059060.0,False,Compliant,14.83,0.63
853,Multifamily MR (5-9),Mid-Rise Multifamily,7,EAST,47.61212,-122.3281,2001,6,1922,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,121.0,2066852.25,0.0,1637050.0,False,Compliant,26.89,0.52
854,Multifamily LR (1-4),Low-Rise Multifamily,1,SOUTHWEST,47.58424,-122.39979,1958,3,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,77.69999695,863565.125,0.0,806615.0,False,Compliant,5.62,0.17
855,Multifamily LR (1-4),Low-Rise Multifamily,3,SOUTHEAST,47.58817,-122.30291,1971,4,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,126.9000015,2504037.5,0.0,2363161.0,False,Compliant,16.47,0.28
856,Multifamily LR (1-4),Low-Rise Multifamily,4,NORTHEAST,47.66377,-122.30488,1999,3,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,96.59999847,2938891.25,0.0,2818073.0,False,Compliant,19.65,0.13
857,Multifamily LR (1-4),Low-Rise Multifamily,4,NORTHEAST,47.66232,-122.30394,1988,4,12449,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,141.6000061,2357469.5,0.0,2213421.0,False,Compliant,15.43,0.24
858,NonResidential,Residence Hall,4,NORTHEAST,47.66282,-122.305,1921,3,0,Residence Hall/Dormitory,Residence Hall/Dormitory,Rien,28444.075817081597,88.40000153,605130.6875,0.0,605130.0,False,Compliant,4.22,0.2
859,NonResidential,Small- and Mid-Sized Office,4,NORTHEAST,47.66461,-122.30142,1989,2,0,Office,Office,Rien,28444.075817081597,222.1999969,1781798.375,0.0,1760118.0,False,Compliant,13.91,0.68
860,Multifamily LR (1-4),Low-Rise Multifamily,4,NORTHEAST,47.66156,-122.30314,1960,4,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,82.69999695,600208.875,0.0,567281.0,False,Compliant,3.95,0.18
861,NonResidential,Retail Store,4,NORTHEAST,47.66246,-122.29898,1956,2,0,"Non-Refrigerated Warehouse, Office, Other, Retail Store",Retail Store,Office,4388.0,406.7000122,5322918.5,0.0,5009101.0,False,Compliant,47.12,1.2
862,NonResidential,Retail Store,4,NORTHEAST,47.66246,-122.29898,1956,2,0,"Other, Retail Store",Retail Store,Other,1900.0,375.7000122,6890861.0,0.0,6424200.0,False,Compliant,63.61,1.17
863,NonResidential,Retail Store,4,NORTHEAST,47.66246,-122.29898,1956,1,0,"Other, Retail Store",Retail Store,Other,1500.0,320.7999878,2621259.25,0.0,2314166.0,False,Compliant,28.41,1.21
864,NonResidential,Retail Store,4,NORTHEAST,47.66246,-122.29898,1997,1,0,"Non-Refrigerated Warehouse, Other, Retail Store",Retail Store,Non-Refrigerated Warehouse,2757.0,219.8999939,4670313.0,0.0,4312919.0,False,Compliant,47.66,0.75
865,Multifamily LR (1-4),Low-Rise Multifamily,4,NORTHEAST,47.66523,-122.29966,1980,2,48179,"Multifamily Housing, Parking",Multifamily Housing,Parking,48179.0,96.80000305,7828769.5,0.0,4410910.0,False,Compliant,184.8,0.58
866,Multifamily LR (1-4),Low-Rise Multifamily,4,NORTHEAST,47.66316,-122.30215,1959,3,0,Multifamily Housing,Multifamily Housing,Rien,28444.075817081597,304.2999878,2762337.0,0.0,2534873.0,False,Compliant,17.67,0.68
867,NonResidential,Hotel,4,NORTHEAST,47.66355,-122.30123,1961,2,0,Hotel,Hotel,Rien,28444.075817081597,109.1999969,1640279.375,0.0,817987.0,False,Compliant,46.57,1.93
868,NonResidential,Restaurant,7,DOWNTOWN,47.61521,-122.33747,1923,3,0,"Office, Restaurant",Restaurant,Office,14400.0,322.7999878,4712960.5,0.0,2941315.0,False,Compliant,101.99,3.04
